"id","customer_id","installation_date","status","pic_id","created_by","updated_by","created_at","updated_at","uninstallation_date","lead_person_id","installed_by","unistalled_by","remarks","idu_sn","ac_asset_id","custom_asset_name","odu_sn","last_deduction_date","contract_start_date","contract_end_date","total_debt","balance","service","payment_term","monthly_fee","device_activated","security_deposit_status","uninstallation_start_date","uninstallation_end_date","uninstallation_status"
3581,1602,"2024-03-15 00:00:00","ACTIVE",NULL,NULL,NULL,"2024-03-15 11:29:12.76","2024-03-18 19:25:56.258609",NULL,NULL,NULL,NULL,NULL,"0000606",5,NULL,"0001009",NULL,"2024-03-15 11:29:12.759","2025-03-15 08:29:12.759",1740000,NULL,"Without Baridi Care","1 Year",145000,"Yes",False,NULL,NULL,NULL
1398,497,"2022-10-06 00:00:00","PURCHASED",NULL,NULL,NULL,"2022-10-06 08:15:13.359721","2023-08-31 10:10:54.754732","2023-04-11",NULL,NULL,71,NULL,"0000294",5,NULL,"0000363",NULL,"2022-10-06 00:00:00","2023-10-06 00:00:00",1740000,0,"Without Baridi Care","1 Year",145000,"No",False,NULL,NULL,NULL
2383,998,"2023-07-14 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-07-14 10:12:43.052329","2023-07-14 14:14:46.764803",NULL,NULL,NULL,NULL,NULL,"0000690",5,NULL,"0000658",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
3541,1578,"2024-03-12 00:00:00","ACTIVE",NULL,NULL,NULL,"2024-03-12 14:44:50.148","2024-03-15 15:06:41.403874",NULL,NULL,NULL,NULL,NULL,"0000889",5,NULL,"0001011",NULL,"2024-03-12 14:44:50.147","2025-03-12 11:44:50.147",1740000,NULL,"Without Baridi Care","1 Year",145000,"Yes",False,NULL,NULL,NULL
2851,1210,"2023-12-09 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-12-09 14:01:15.383","2023-12-11 20:05:45.762855",NULL,NULL,NULL,NULL,NULL,"0000628",7,NULL,"0000621",NULL,"2023-12-09 14:01:15.383","2033-12-09 00:00:00",0,NULL,NULL,"Corporate",0,"Yes",False,NULL,NULL,NULL
2840,902,"2023-12-08 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-12-08 14:30:36.021","2023-12-19 20:10:18.97884",NULL,NULL,NULL,NULL,NULL,"0000489",6,NULL,"0000280",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2649,1095,"2023-09-30 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-09-30 11:24:16.101","2023-10-02 17:43:50.144552",NULL,NULL,NULL,NULL,NULL,"0000537",6,NULL,"0000647",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2297,965,"2023-06-17 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-06-17 12:14:09.548238","2023-08-14 08:27:18.330739",NULL,NULL,NULL,NULL,NULL,"0000588",7,NULL,"0000385",NULL,"2023-06-17 00:00:00","2033-06-17 00:00:00",0,NULL,NULL,"Corporate",0,"Yes",False,NULL,NULL,NULL
2625,179,"2023-09-22 08:58:05.136","UNINSTALLED",NULL,NULL,NULL,"2023-09-22 08:58:05.136","2023-10-02 17:55:29.576404","2023-10-02",NULL,NULL,71,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
3090,976,"2024-01-10 00:00:00","ACTIVE",NULL,NULL,NULL,"2024-01-10 10:57:52.304","2024-02-13 13:40:32.042579",NULL,NULL,NULL,NULL,NULL,"0000770",7,NULL,"0000845",NULL,"2024-01-10 10:57:52.304","2034-01-10 00:00:00",0,NULL,NULL,"Corporate",0,"Yes",False,NULL,NULL,NULL
3508,1563,"2024-03-08 00:00:00","ACTIVE",NULL,NULL,NULL,"2024-03-08 15:28:29.822","2024-03-20 05:18:37.78336",NULL,NULL,NULL,NULL,NULL,"0000929",7,NULL,"0000735",NULL,"2024-03-08 15:28:29.821","2034-03-08 00:00:00",0,NULL,"With Baridi Care","Corporate",0,"Yes",False,NULL,NULL,NULL
